,공지제목,게시부서,게시일자,링크
0,2023-하계(단기) 표준현장실습학기제 실습생모집_소프트스피어(디자인),취업지원팀,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYyMTIlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
1, , , , 
2,2023-하계(단기) 표준현장실습학기제 실습생모집_(주)더와이즈_경영지원팀,대학일자리플러스센터,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYyMDElMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
3,2023-하계(단기) 표준현장실습학기제 실습생모집_(주)더와이즈_AP팀,대학일자리플러스센터,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYyMDAlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
4,2023-하계(단기) 표준현장실습학기제 실습생모집_퍼스트클래스컴퍼니,대학일자리플러스센터,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxOTklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
5,2023-하계(단기) 표준현장실습학기제 실습생모집_(주)바텍_품질기획팀,대학일자리플러스센터,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxOTglMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
6,2023-하계(단기) 표준현장실습학기제 실습생모집_(주)바텍_시스템기술팀 시스템파트,대학일자리플러스센터,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxOTclMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
7,2023-하계(단기) 표준현장실습학기제 실습생모집_(주)바텍_제너개발팀 파워파트,대학일자리플러스센터,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxOTYlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
8,2023-하계(단기) 표준현장실습학기제 실습생모집_(주)바텍_시스템 HW팀,대학일자리플러스센터,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxOTUlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
9,2023-하계(단기) 표준현장실습학기제 실습생모집_(주)바텍_제너개발팀 CNT파트,대학일자리플러스센터,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxOTQlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
10,2023-하계(단기) 표준현장실습학기제 실습생모집_더바른케어,대학일자리플러스센터,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxOTMlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
11,2023-하계(단기) 표준현장실습학기제 실습생모집_스페이스뱅크 주식회사,대학일자리플러스센터,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxOTIlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
12,2023-하계(단기) 표준현장실습학기제 실습생모집_한국전기연구원,대학일자리플러스센터,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxOTElMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
13,2023-하계(단기) 표준현장실습학기제 실습생모집_KSR 큰사람,대학일자리플러스센터,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxOTAlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
14,[히든챔피언 채용공고] 한신공영주식회사 인사 총무 정규직 추천채용(~5/11),대학일자리플러스센터,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxODUlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
15, , , , 
16,2024-25년 대한민국 유엔 안보리 진출 제2대 청년사절 신청 접수 안내,학생지원팀,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxODMlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
17,2023-하계(단기) 표준현장실습학기제 실습생모집_노보텔 앰배서더즈 동대문,취업지원팀,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxODElMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
18,「2023 제2회 모의 유네스코 회의」사무국원 모집 안내,학생지원팀,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxODAlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
19, , , , 
20,2023학년도 자생의료재단 자생한방병원 일반수련의 장학생 선발 안내,장학·복지팀,2023.05.03,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxNjAlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
21,대학생 대상 2023년 청년마음건강지원사업 안내,학생지원팀,2023.05.03,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxMzklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
22,『2023년 서울청년문화패스』참여자 모집 안내,학생지원팀,2023.05.03,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxMzMlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
23, , , , 
24, , , , 
25,[하나은행] 2023-1학기 국제학생증 ISIC 인증비 지원 행사 안내,학생지원팀,2023.05.02,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxMDQlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
26,[IT역량강화교육] 6시그마 경영전문가 GB과정 모집 안내,대학일자리플러스센터,2023.05.02,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxMDMlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
27,공과대학1 1층 (경비실 앞) 출입구 앞 자전거 거치대 정리 안내,공과대학,2023.05.02,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxMDElMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
28,공과대학1 1층 출입구 옆 장구 정리 안내,공과대학,2023.05.02,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxMDAlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
29,2023년 (재)서울장학재단 독립유공자 후손 장학금 장학생 선발 안내,장학·복지팀,2023.05.02,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwOTglMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
30,2023년「경기청년 사다리 프로그램 사업」 참여자 모집(중국) 안내,학생지원팀,2023.05.02,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwNzQlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
31,2023학년도 예술영재교육원 사회봉사자(TA) 모집,예술영재교육원,2023.04.29,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwNDklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
32, , , , 
33,"2023년 MICE 글로벌전문가(서포터즈, 인재뱅크) 모집 안내",학생지원팀,2023.04.28,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwNDclMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
34,2023-하계(단기) 표준현장실습학기제 실습생모집_인포뱅크(주),대학일자리플러스센터,2023.04.28,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMzUlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
35,2023-하계(단기) 표준현장실습학기제 실습생모집_주식회사 비엔비케이,대학일자리플러스센터,2023.04.28,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMzAlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
36,(한국장학재단) 학자금대출 특별상환 유예대출 신청 안내,장학·복지팀,2023.04.28,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMjklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
37,2023-하계(단기) 표준현장실습학기제 실습생모집_주식회사 바이트랩_마케팅,대학일자리플러스센터,2023.04.28,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMjclMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
38,2023 가천핵심역량진단 후기보고서 공모 수상자 발표,교육성과관리센터,2023.04.28,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMjYlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
